"","countyfips","netMigClust"
"1",1,5
"2",3,4
"3",5,1
"4",7,4
"5",9,4
"6",11,4
"7",13,5
"8",14,2
"9",15,4
"10",17,4
"11",19,4
"12",21,4
"13",23,4
"14",25,4
"15",27,4
"16",29,4
"17",31,1
"18",33,4
"19",35,3
"20",37,2
"21",39,4
"22",41,1
"23",43,2
"24",45,2
"25",47,4
"26",49,4
"27",51,4
"28",53,4
"29",55,4
"30",57,4
"31",59,5
"32",61,4
"33",63,4
"34",65,4
"35",67,2
"36",69,5
"37",71,4
"38",73,4
"39",75,4
"40",77,3
"41",79,4
"42",81,4
"43",83,4
"44",85,2
"45",87,4
"46",89,4
"47",91,4
"48",93,4
"49",95,4
"50",97,2
"51",99,4
"52",101,3
"53",103,4
"54",105,4
"55",107,2
"56",109,4
"57",111,4
"58",113,4
"59",115,4
"60",117,2
"61",119,2
"62",121,4
"63",123,3
"64",125,4
