RegionNumber,FIPS
0,1
0,3
0,5
0,7
0,9
0,11
0,13
0,14
0,15
0,17
0,19
0,21
0,23
0,25
0,27
0,29
0,31
0,33
0,35
0,37
0,39
0,41
0,43
0,45
0,47
0,49
0,51
0,53
0,55
0,57
0,59
0,61
0,63
0,65
0,67
0,69
0,71
0,73
0,75
0,77
0,79
0,81
0,83
0,85
0,87
0,89
0,91
0,93
0,95
0,97
0,99
0,101
0,103
0,105
0,107
0,109
0,111
0,113
0,115
0,117
0,119
0,121
0,123
0,125
1,75
1,87
1,95
1,115
1,121
1,125
2,69
2,123
3,1
3,5
3,13
3,14
3,19
3,31
3,35
3,47
3,59
4,41
4,93
4,119
5,17
5,39
5,63
5,73
6,9
6,11
6,25
6,61
6,89
6,99
7,101
8,3
8,21
8,23
8,79
8,105
8,109
9,7
9,33
9,67
9,83
9,111
10,29
10,51
10,53
10,85
10,91
10,113
11,45
11,77
11,81
11,103
11,107
12,37
12,49
12,57
12,97
12,117
13,15
13,27
13,43
13,65
14,55
14,71
101,1
101,5
101,13
101,14
101,31
101,35
101,59
102,1
102,5
102,13
102,14
102,31
102,35
102,41
102,59
102,69
102,101
102,119
102,123
103,7
103,29
103,33
103,37
103,45
103,49
103,51
103,53
103,57
103,67
103,77
103,81
103,83
103,85
103,91
103,97
103,103
103,107
103,111
103,113
103,117
104,9
104,11
104,17
104,25
104,39
104,61
104,63
104,73
104,75
104,87
104,89
104,95
104,99
104,115
104,121
104,125
105,3
105,21
105,23
105,79
105,105
105,109
106,15
106,19
106,27
106,43
106,47
106,55
106,65
106,71
106,93
106,119
107,1
107,5
107,14
107,31
107,35
107,59
108,1
108,5
108,13
108,14
108,31
108,35
108,59
108,123
,
