"","FIPS","State","County_Name","Population_2010","RUCC_2013","Description","countyfips","state","rucc_short"
"1","08001","CO","Adams County",441603,1,"Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",1,8,"Metro"
"2","08003","CO","Alamosa County",15445,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",3,8,"Rural Not Adjacent"
"3","08005","CO","Arapahoe County",572003,1,"Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,8,"Metro"
"4","08007","CO","Archuleta County",12084,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",7,8,"Rural Not Adjacent"
"5","08009","CO","Baca County",3788,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",9,8,"Rural Not Adjacent"
"6","08011","CO","Bent County",6499,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",11,8,"Rural Not Adjacent"
"7","08013","CO","Boulder County",294567,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",13,8,"Metro"
"8","08014","CO","Broomfield County",55889,1,"Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",14,8,"Metro"
"9","08015","CO","Chaffee County",17809,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",15,8,"Rural Not Adjacent"
"10","08017","CO","Cheyenne County",1836,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",17,8,"Rural Not Adjacent"
"11","08019","CO","Clear Creek County",9088,1,"Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",19,8,"Metro"
"12","08021","CO","Conejos County",8256,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",21,8,"Rural Not Adjacent"
"13","08023","CO","Costilla County",3524,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",23,8,"Rural Not Adjacent"
"14","08025","CO","Crowley County",5823,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",25,8,"Rural Adjacent"
"15","08027","CO","Custer County",4255,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",27,8,"Rural Adjacent"
"16","08029","CO","Delta County",30952,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",29,8,"Rural Adjacent"
"17","08031","CO","Denver County",600158,1,"Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",31,8,"Metro"
"18","08033","CO","Dolores County",2064,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",33,8,"Rural Not Adjacent"
"19","08035","CO","Douglas County",285465,1,"Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",35,8,"Metro"
"20","08037","CO","Eagle County",52197,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             ",37,8,"Rural Not Adjacent"
"21","08039","CO","Elbert County",23086,1,"Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",39,8,"Metro"
"22","08041","CO","El Paso County",622263,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",41,8,"Metro"
"23","08043","CO","Fremont County",46824,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",43,8,"Rural Adjacent"
"24","08045","CO","Garfield County",56389,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             ",45,8,"Rural Not Adjacent"
"25","08047","CO","Gilpin County",5441,1,"Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",47,8,"Metro"
